block_slot,block_hash,block_timestamp,commission,lamports,post_balance,pubkey,reward_type
292312091,6wLeYqdMJn5rURmLSa7sp4VXuXAWmmgG6qhFJ9h5tJhq,2024-09-27 13:27:06.000000 UTC,,19242288,185102067105,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
292312096,E3Ur9nYfcnwWq3m3gmvm2Qvv9tP4JqyjKyCb74uMtfKC,2024-09-27 13:27:09.000000 UTC,,19582177,53984445661,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312101,H6rAnEGGYPkyyJfzDV479C12qwC1vqYtzeafUkRHUp93,2024-09-27 13:27:10.000000 UTC,,41924348,54111031984,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312104,2sjPfRUND7yzQBvS7CQyk6ejxTSB7siYcsoDg1RuC4GA,2024-09-27 13:27:12.000000 UTC,,17975539,1730897953216,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Fee
292311987,334rWneBP4NdxBcghtYbNd8DVFD1sSLYFSFL8ikRm8WV,2024-09-27 13:26:17.000000 UTC,,14044102,4638441987446,BtsmiEEvnSuUnKxqXj2PZRYpPJAc7C34mGz8gtJ1DAaH,Fee
292311996,AHV78SMepyC5aWVQ2h4tkhGdHzpNgZZZ4Kdz7kd1H5tp,2024-09-27 13:26:22.000000 UTC,,87639909,11402294573,A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,Fee
292312001,94rY6HAWycTJa8PSNVi7cEFEkjeYzZVpCLoFSsYRT9AH,2024-09-27 13:26:24.000000 UTC,,45394005,5234176875,8Gr59dE1LhRdKeN7EcAFAoKSk9XYVUVPPL7zWc8myrma,Fee
292312007,HF7hcpuFxJtATt6KL4SWaBpBHzt1Xz7Yf79235MGNWFt,2024-09-27 13:26:27.000000 UTC,,38621202,11539994729,A4hyMd3FyvUJSRafDUSwtLLaQcxRP4r1BRC9w2AJ1to2,Fee
292312012,yRghmrrZXfwUMPEDtXnSpdkzf3uijD2oM7DEVXPAqe2,2024-09-27 13:26:30.000000 UTC,,4730026,66519439542,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312022,Geu487C6a8NxcmMUdSQvX1PgQ1s1Der75wFupXf6C2SJ,2024-09-27 13:26:35.000000 UTC,,8959797,313555140268,6JKwz43wDTgk5n8eNCJrtsnNtkDdKd1XUZAvB9WkiEQ4,Fee
292312027,2iWSTxs8bQeWCipcJXVuuyJWAUWpJvYqgLtxAjg5zWfp,2024-09-27 13:26:36.000000 UTC,,25672058,135016794925,AEHqTB2RtJjegsR2ePjvoJSm6AA5pnYKWVbcsn6kqTBD,Fee
292312031,7EdCruxKT1ZVwto9DkEuibsoq6P3qgs16PBogVxP5DkW,2024-09-27 13:26:38.000000 UTC,,13972852,66709969375,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312036,FrCc6ru4wAkURVaQu96PbB7SWzjxNKppT8KsccNUgsPg,2024-09-27 13:26:40.000000 UTC,,28011534,1819093973635,Fd7btgySsrjuo25CJCj7oE7VPMyezDhnx7pZkj2v69Nk,Fee
292312041,D9g4kf4CtgiuytSZDjSMpGT9nmKKSMiTUeweZiJCBHpy,2024-09-27 13:26:42.000000 UTC,,8208262,4421467647577,9jxgosAfHgHzwnxsHw4RAZYaLVokMbnYtmiZBreynGFP,Fee
292312046,GBej9rkVu18hnLX6ovYWCPj7FfEMhYeA7k87e9XqT67b,2024-09-27 13:26:44.000000 UTC,,27148192,103166834753,DtdSSG8ZJRZVv5Jx7K1MeWp7Zxcu19GD5wQRGRpQ9uMF,Fee
292312054,8nRJUKxi3qp2mxPkTqagztc8ejPNv3NJLAWghotTmNWJ,2024-09-27 13:26:47.000000 UTC,,19291822,17528356384,GQiWnDYrzHMALWG9avt5FCu1wisAQHjGY5ve7GMBiPEe,Fee
292312059,2UtcC38NWjhJM3CoF6hHqLrUmubNcHXHc72iKhiMKwPK,2024-09-27 13:26:50.000000 UTC,,6487208,66931118494,EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,Fee
292312064,D3gJaYSrKvtHWQoiwrYvm3SodEHceUzXFU495p5nouqt,2024-09-27 13:26:53.000000 UTC,,15151001,9695641343,3DaPk6TdeGnEBwTR8fEyZSLkdayk6vZXrqGZhAgYK8BV,Fee
292312069,DRSBHjc1FLKg9Yhn8eGDR68VcPrtGBvJPAcVw2N9kaHH,2024-09-27 13:26:55.000000 UTC,,47142538,1682145381446,CW9C7HBwAMgqNdXkNgFg9Ujr3edR2Ab9ymEuQnVacd1A,Fee
292312075,7LoAQ4zLz8EcJUx3pscmEdwbgtDdJ5z82FEAi4z4VGgq,2024-09-27 13:26:58.000000 UTC,,12833135,155498512343,Ah95vWS61zmcbreP7KWcJizUCpQqnGxN4feEaeADfX2d,Fee
292312079,AvWM658DJ8kRpNWTJhGLAVQxxruM8Uy7LSXwukuywcUj,2024-09-27 13:27:00.000000 UTC,,18448659,6928250650,9hNj1a8xDtWsBzDWv8kk3yosBhT7UcohLEuV72ZJ4QZs,Fee
292312085,HUfEGWRBt53VYWDJvh4yh1PJz9G4gafu2tUvKH6XWrLm,2024-09-27 13:27:03.000000 UTC,,161782052,184990735717,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
292312089,FRxb2df3Gs1eLKtmC9u6YYRNX2oVJJeoxdGpMhgyJmiF,2024-09-27 13:27:05.000000 UTC,,14035468,185055538877,JupRhwjrF5fAcs6dFhLH59r3TJFvbcyLP2NRM8UGH9H,Fee
292312095,9tGhKfJ3q9ZPM79jQE4S63NpgLzr8kEXzBrxLet7jmNd,2024-09-27 13:27:08.000000 UTC,,11394328,7963867722,FPPo2aGYYwDWK1Rmr4sXjiCaZzzMwGKi67ijAiVZKwb8,Fee
292312099,GQ8Yk47ZF8zakkKKXxkYoicCffadcZDigtkFvsUMGCi4,2024-09-27 13:27:09.000000 UTC,,12983072,54055732968,DDnAqxJVFo2GVTujibHt5cjevHMSE9bo8HJaydHoshdp,Fee
292312106,7kL1N8RyvSKyKVqs7GskE8TUF79Ztr87etGLM5pNqpMj,2024-09-27 13:27:13.000000 UTC,,19435146,1730925107052,q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,Fee
